name,company,workarea,salary,requirements,company_type,company_size
(南京东博智慧能源研究院)大数据分析实习生,南京东博智慧能源研究院,南京,,['硕士'],民营公司,
【商业】-数据分析岗（哈尔滨）,华润置地商业地产事业部-商业东北大区,哈尔滨,,['本科'],国企,
数据分析师,北京红海无限科技发展有限公司,北京,1-1.5万/月,"['在校生/应届生', '本科']",民营公司,
产品数据分析师  15薪+ 双休,微贷有限公司,杭州-上城区,1-2万/月,"['3-4年经验', '本科']",民营公司,5000-10000人
【商业】-数据分析岗,华润置地商业地产事业部-商业华南大区,南宁,,"['在校生/应届生', '硕士']",国企,
数据分析,广州市方圆房地产发展有限公司,广州,,['本科'],民营公司,
数据分析专员(工业化方向)-上海,施耐德电气（中国）有限公司,上海,,['本科'],外资（欧美）,
数据分析师,广州汽车集团股份有限公司,广州,,['本科'],国企,
数据分析师/高级计划专员,深圳市奥盛达科技有限公司,深圳-龙岗区,0.8-1.2万/月,"['1年经验', '大专']",民营公司,150-500人
商品专员/货控（数据分析方向）,百丽鞋业（武汉）有限公司,武汉,,['大专'],政府机关,
【商业】-数据分析岗,华润置地商业地产事业部-商业华北大区,天津,,['硕士'],国企,
金融数据分析师,北京储慧国际咨询有限公司,北京-朝阳区,1.5-2万/月,['无需经验'],合资,50-150人
金融数据分析师,北京储慧国际咨询有限公司,北京-朝阳区,1-1.5万/月,['无需经验'],合资,50-150人
数据分析助理,上海爱数信息技术股份有限公司,上海,,['硕士'],民营公司,
数据分析（炫彩互动网络科技有限公司）,号百控股股份有限公司,南京,,['本科'],国企,
数据分析工程师（中国电信集团系统集成有限责任公司）,系统集成有限责任公司,北京,,['本科'],国企,
数据分析岗,江苏昆山农村商业银行股份有限公司,异地招聘,20-30万/年,"['3-4年经验', '本科']",上市公司,1000-5000人
数据分析师（信元公众信息发展有限责任公司）,信元公众信息发展有限责任公司,北京,,['硕士'],国企,
数据分析岗（（天翼电子商务有限公司）,天翼电子商务有限公司,上海,,['本科'],国企,
大数据分析工程师,天合光能股份有限公司,常州,,['本科'],上市公司,
数据分析师-北京,北京集智数字科技有限公司,北京,,['本科'],民营公司,
2021年校招-数据分析岗-首创证券-北京,首创证券有限责任公司,北京,,['本科'],国企,
数据分析专员,深圳百果园实业（集团）股份有限公司,异地招聘,5-8千/月,"['1年经验', '大专']",民营公司,10000人以上
金融数据分析师  双休  五险,陕西万晟凯诺商务信息咨询有限公司,西安-高新技术产业开发区,4-8千/月,"['1年经验', '大专']",民营公司,50-150人
